Course,Description,Section,Date Times,Instructors
AFNS 521 - Meat Science,"The conversion of muscle to meat in livestock and poultry: definitions and measurement of carcass and meat quality; influences of pre- and post-slaughter factors on carcass and meat quality. The lab will consist of a two-day field trip during Reading Week. Not to be taken if credit received for AN SC 420. Prerequisites: *3 BIOCH or AN SC 320, and consent of instructor.",LECTURE B1 (40403),2023-01-05 - 2023-04-12 MWF 12:00 - 12:50 (GSB 5-11),Heather Bruce
AFNS 521 - Meat Science,"The conversion of muscle to meat in livestock and poultry: definitions and measurement of carcass and meat quality; influences of pre- and post-slaughter factors on carcass and meat quality. The lab will consist of a two-day field trip during Reading Week. Not to be taken if credit received for AN SC 420. Prerequisites: *3 BIOCH or AN SC 320, and consent of instructor.",LAB H1 (40404),No scheduled class times,Heather Bruce
AFNS 528 - Advances in Human Nutrition and the Intestinal Microbiome,"Overview of the role of microorganisms in the gastrointestinal tract and the impact on human health, interaction with dietary components and potential dietary modulation of the microbiome in the prevention of chronic disease. Not to be taken if credit received for NU FS 428. Prerequisite: consent of instructor. *3 MICRB and *6 PHYSL recommended.",SEMINAR B1 (41871),2023-01-05 - 2023-04-12 F 13:00 - 15:50 (ECHA 2-430),"Assistant Instructor:  Michael Gaenzle
                                                        
                                                        
Ben Willing"
AFNS 552 - Nutrition in the Prevention of Chronic Human Diseases,"A lecture and reading course for graduate students to review current research and the scientific basis of nutrition intervention in the prevention and treatment of chronic human disease. Translation of research findings to nutrition recommendations in topical areas including global health and food supply, obesity, cardiovascular disease, polycystic ovary syndrome and behavior-cognitive disorders. Not to be taken if credit received for NUTR 452. Prerequisite: consent of instructor. *6 PHYSL recommended.",LECTURE B1 (42199),2023-01-05 - 2023-04-12 F 10:00 - 12:50 (ECHA L1-430),Donna Vine
AFNS 554 - Unit Operations in Food Preservation,"Processes used in food preservation. Dehydration, freezing, sterilization and canning, irradiation and high pressure processing. Effect of processing on food properties. Not to be taken if credit received for NU FS 454. Prerequisite: consent of instructor.",LECTURE B1 (42204),2023-01-05 - 2023-04-12 MWF 10:00 - 10:50 (NRE 2-020),Marleny Aranda Saldana
AFNS 554 - Unit Operations in Food Preservation,"Processes used in food preservation. Dehydration, freezing, sterilization and canning, irradiation and high pressure processing. Effect of processing on food properties. Not to be taken if credit received for NU FS 454. Prerequisite: consent of instructor.",LAB H1 (42205),2023-01-05 - 2023-04-12 W 14:00 - 16:50 (AFDP 1 206),Marleny Aranda Saldana
AFNS 556 - Nutrition Across the Lifespan,"A lecture course that examines the understanding of how nutrients act on a cellular, tissue and the whole organism to influence human growth, development and aging. Prerequisite: consent of instructor.",LECTURE B1 (46580),2023-01-05 - 2023-04-12 TH 11:00 - 12:20 (VVC 2-215),Vera Mazurak
AFNS 562 - Swine Nutrition,"Nutrient utilization and requirements, feed ingredients, and applied feeding program. Feed formulation strategies and current topics in swine nutrition will be discussed in detail. Not to be taken if credit received for AN SC 462. Prerequisite: consent of instructor.",LECTURE B1 (42408),2023-01-05 - 2023-04-12 MWF 09:00 - 09:50 (GSB 5-11),"Doug Korver
                                                        
                                                        
Assistant Instructor:  Ruurd Zijlstra"
AFNS 562 - Swine Nutrition,"Nutrient utilization and requirements, feed ingredients, and applied feeding program. Feed formulation strategies and current topics in swine nutrition will be discussed in detail. Not to be taken if credit received for AN SC 462. Prerequisite: consent of instructor.",LAB H1 (42409),2023-01-05 - 2023-04-12 M 14:00 - 16:50 (GSB 2-11),"Doug Korver
                                                        
                                                        
Assistant Instructor:  Ruurd Zijlstra"
AFNS 563 - Poultry Nutrition,"Nutritional requirements, feeding programs, and feed ingredients used for poultry. Feed formulation strategies and current topics in poultry nutrition will be discussed extensively. Not to be taken if credit received for AN SC 462, AN SC 463, or AFNS 515. Prerequisite: consent of Instructor.",LECTURE B1 (42237),2023-01-05 - 2023-04-12 MWF 09:00 - 09:50 (GSB 5-11),"Doug Korver
                                                        
                                                        
Assistant Instructor:  Ruurd Zijlstra"
AFNS 563 - Poultry Nutrition,"Nutritional requirements, feeding programs, and feed ingredients used for poultry. Feed formulation strategies and current topics in poultry nutrition will be discussed extensively. Not to be taken if credit received for AN SC 462, AN SC 463, or AFNS 515. Prerequisite: consent of Instructor.",LAB H1 (42238),2023-01-05 - 2023-04-12 M 14:00 - 16:50 (GSB 2-11),"Doug Korver
                                                        
                                                        
Assistant Instructor:  Ruurd Zijlstra"
AFNS 566 - Advanced Food Microbiology,"A lecture/discussion course on selected topics in food microbiology. Prerequisite: One of: (MICRB 265, NU FS 361, or 363) and consent of instructor.",LECTURE B1 (42288),No scheduled class times,Michael Gaenzle
AFNS 566 - Advanced Food Microbiology,"A lecture/discussion course on selected topics in food microbiology. Prerequisite: One of: (MICRB 265, NU FS 361, or 363) and consent of instructor.",SEMINAR J1 (42289),No scheduled class times,Michael Gaenzle
AFNS 570 - Experimental Procedures in Nutrition and Metabolism,"Current methodologies in nutrition and metabolism. Prerequisites: NUTR 301 and NUTR 302, or consent of instructor.",LAB B1 (42330),No scheduled class times,Spencer Proctor
AFNS 574 - Applied Beef Cattle Science,"Examination of current and potential future production and management practices to optimize production efficiency and animal well-being in the Canadian and international beef industry. Laboratories emphasize practical applications, field trips, and discussion. Not to be taken if credit received for AN SC 474. Prerequisite: consent of instructor.",LECTURE B1 (42337),2023-01-05 - 2023-04-12 MWF 11:00 - 11:50 (GSB 5-11),"Carolyn Fitzsimmons
                                                        
                                                        
Assistant Instructor:  Gleise Medeiros da Silva"
AFNS 574 - Applied Beef Cattle Science,"Examination of current and potential future production and management practices to optimize production efficiency and animal well-being in the Canadian and international beef industry. Laboratories emphasize practical applications, field trips, and discussion. Not to be taken if credit received for AN SC 474. Prerequisite: consent of instructor.",LAB H1 (42338),2023-01-05 - 2023-04-12 W 14:00 - 16:50 (GSB 5-11),"Carolyn Fitzsimmons
                                                        
                                                        
Assistant Instructor:  Gleise Medeiros da Silva"
AFNS 578 - Advanced Clinical Nutrition,"The principles of diet therapy in selected areas of current interest. Emphasis on case studies, research and practical problems in clinical dietetics. Not to be taken if credit received for NUTR 476. Prerequisite: consent of instructor.",LECTURE B1 (42274),2023-01-05 - 2023-04-12 M 12:00 - 12:50 (ECHA 2-430) 2023-01-05 - 2023-04-12 W 12:00 - 13:50 (ECHA 2-430),Diana Mager
